A,B,C,D,E,F,G,H,I,J
9.762246307644001e-05,3.12684477249729,0.000104930194538,3.47335760140737,0.0001,56.6253101736973,9.762246307644001e-05,54.020145020636214,0.00010243544041900001,54.019557212614295
0.00019615830154599996,4.6815969904229195,0.00023779822282499996,5.0266402992782595,0.000302489981106,55.569606966364795,0.000255599100816,51.2292325326548,0.000261824064627,51.055241358172395
0.00046646095499800004,6.75538369168628,0.0007731616717649999,8.486184412170969,0.001794852160056,53.116096282954,0.000937286212479,45.1339572495623,0.000915001886698,45.13425115357321
0.0010319845243370001,9.351143916396891,0.001794852160056,11.4287513698026,0.010149529057506,50.315778866622104,0.0031976757134730004,37.64998551473089,0.0026377431647630002,38.8682176401187
0.0024540408586989997,12.814508781432,0.0044785534804329995,15.9337120496446,0.045119129320183,47.1710059494569,0.011447142425533,28.602150537634397,0.007978908800726,31.212018154870602
0.006272506368482,18.0139646391488,0.011725930758958999,22.3487548966507,0.20057441277099602,44.0262330322916,0.029971373582159996,20.600319935509,0.017232613581369,25.296906030490398
0.016422931127941,24.429007486155,0.025942105008005003,27.897368719376196,0.606717503295278,41.7546489316589,0.050887592568862994,15.9040277445386,0.041976864290584,17.6433516813409
0.03905343835794898,29.455647785433307,0.054696888600665,30.8411112930517,3.1160382301285,36.8711398857133,0.09286838236709699,10.859459300592404,0.09513013648752099,11.7276517489388
0.08038341388279903,32.399684263119696,0.112582216044333,34.6536341230954,10.131283988055301,33.3827931797475,0.16545260799394598,6.509973842543008,0.182169041524117,8.76686274262825
0.16545260799394598,34.4752343884487,0.243151773466767,37.0759909813455,36.26829646175821,29.198481775852,0.3660424932279149,3.37372414169532,0.41284088454118995,7.01989730154132
0.3019462168901469,34.9889785995894,0.43319474328093,38.8059099897973,97.2718009509232,26.7546699248025,1.13420808460811,1.4492406779945701,0.913357054422524,6.3154093872941
0.7009514819436279,34.1102056068488,0.652134597346256,38.9746108920826,,,4.26045403860264,1.08568141644938,2.7628135813567503,6.12819253231895
1.8352596610871696,32.1877794712247,1.13420808460811,38.0993647474735,,,14.1895242768957,0.897288945430404,14.8890954277448,6.107619251552451
7.233710816771799,28.349686992228303,2.63300148591611,36.3521054023756,,,60.1149065618178,1.0533519752448701,63.0786884015736,6.2636822813669015
22.414155301338802,25.035625364755894,5.551476602076138,34.6060216733215,,,,,142.952179456662,6.25368954499459
58.6856524617468,22.5921074177174,11.1548939354296,33.0342230227608,,,,,,
132.996454663659,20.845141976630398,26.5261395364189,30.0707888803517,,,,,,
,,61.5789692939289,27.802437723839397,,,,,,
,,126.747553694529,26.0566478987962,,,,,,
